what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1511688610932
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688612839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688630273
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688632566
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1511688632602
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1511688636022
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688636106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688638459
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688644484
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688644594
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688644595
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511688650245
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688650425
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688650468
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688654307
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688654307
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511688656737
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688659288
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688661159
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688661224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688662899
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1511688662953
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688666732
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688666761
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688673913
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688673913
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688676905
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688677544
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511688681361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688681909
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688682107
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688682251
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1511688689605
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688694720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688699135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688699276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688700957
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688701087
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688701105
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688705053
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1511688705821
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688706620
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511688706756
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688707567
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688749701
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688751620
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511688751620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688752718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1511688753352
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688756959
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688757029
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511688757067
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.navigate.openResource",1511688757069
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511688775137
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688776580
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688776639
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511688787797
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688788010
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511688788096
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688826037
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688852052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511688864217
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511689778764
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511689781035
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511689785048
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1511689787241
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511689787284
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511689787321
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1511689787368
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511689787545
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511689787664
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1511689787734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1511689787734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511689795595
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511689813883
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511689815590
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511689815649
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1511689823804
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690039093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690087102
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511690088684
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690094755
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690104743
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690112778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690143950
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1511690156364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690165462
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690287587
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511690297340
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511690297808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690298400
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690458837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511690461230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511690461566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692380201
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511692382134
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692385942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692395777
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692399901
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692403567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692403922
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692408145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692408298
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692410066
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692410152
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692411689
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692415533
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692415553
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692429388
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511692429906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692431182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692432031
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511692453762
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692460324
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692460466
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692461882
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511692466373
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692471176
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511692471245
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692482346
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511692482387
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1511692487509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692488742
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692489333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692489924
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692492361
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692497532
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511692498408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692498706
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692541953
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511692543939
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692546544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692551400
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692553512
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692554960
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1511692555027
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692557594
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1511692557897
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692560753
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1511692562137
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692565722
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692572999
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511692573428
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692573753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692616467
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692618292
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1511692618430
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692618430
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692630874
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692632120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692633411
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692651054
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511692652236
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692654465
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692672377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692675692
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692678117
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692678276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692679920
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692679991
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692681496
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692685028
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692685055
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1511692695231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1511692695631
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1511692696074
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692697057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1511692700555
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.navigate.openResource",1511692700574
